2021-06-21 14:26:37,404 [32mINFO 设备类型列表如下：[0m
2021-06-21 14:26:37,404 [32mINFO 拓斯达T—FFU[0m
2021-06-21 14:26:37,404 [32mINFO 安科瑞电表96AL[0m
2021-06-21 14:26:37,404 [32mINFO 共： 2 个[0m
2021-06-21 14:26:37,544 [32mINFO 共： 0 个[0m
2021-06-21 14:26:37,591 [33mWARNING {'code': 403, 'msg': '添加失败,已存在相同的数据字典！', 'data': {'id': None, 'configCode': None, 'deviceModelID': 240, 'dataVersion': None, 'dataName': '工作状态', 'englishName': 'YWorkMode', 'createTime': None, 'dictionaryNote': '', 'updateTime': None, 'updateUserName': None, 'updateUserID': None, 'isDeleted': None, 'dataUnit': '', 'dataType': 3, 'modelName': None, 'privilegeLevel': None, 'parentID': 0, 'level': 1, 'isShowed': 0}}[0m
2021-06-21 14:26:37,622 [33mWARNING {'code': 403, 'msg': '添加失败,已存在相同的数据字典！', 'data': {'id': None, 'configCode': None, 'deviceModelID': 240, 'dataVersion': None, 'dataName': '风机数量', 'englishName': 'YMumbleFans', 'createTime': None, 'dictionaryNote': '', 'updateTime': None, 'updateUserName': None, 'updateUserID': None, 'isDeleted': None, 'dataUnit': '', 'dataType': 3, 'modelName': None, 'privilegeLevel': None, 'parentID': 0, 'level': 1, 'isShowed': 0}}[0m
2021-06-21 14:26:37,700 [32mINFO {'code': 200, 'msg': '添加成功', 'data': {'id': 1638, 'configCode': '566838649755049984', 'deviceModelID': 240, 'dataVersion': None, 'dataName': '过载电流设定', 'englishName': 'YOverloadCurrentSet', 'createTime': 1624256475680, 'dictionaryNote': '', 'updateTime': 1624256475680, 'updateUserName': '来自EGS77星系英俊潇洒十全十美大帅哥', 'updateUserID': 163, 'isDeleted': 0, 'dataUnit': 'A', 'dataType': 3, 'modelName': None, 'privilegeLevel': None, 'parentID': 0, 'level': 1, 'isShowed': 0}}[0m
2021-06-21 14:26:37,747 [32mINFO {'code': 200, 'msg': '添加成功', 'data': {'id': 1639, 'configCode': '566838650048651264', 'deviceModelID': 240, 'dataVersion': None, 'dataName': '运行模式', 'englishName': 'YRunMode', 'createTime': 1624256475750, 'dictionaryNote': '', 'updateTime': 1624256475750, 'updateUserName': '来自EGS77星系英俊潇洒十全十美大帅哥', 'updateUserID': 163, 'isDeleted': 0, 'dataUnit': '', 'dataType': 3, 'modelName': None, 'privilegeLevel': None, 'parentID': 0, 'level': 1, 'isShowed': 0}}[0m
2021-06-21 14:26:37,778 [32mINFO {'code': 200, 'msg': '添加成功', 'data': {'id': 1640, 'configCode': '566838650233200640', 'deviceModelID': 240, 'dataVersion': None, 'dataName': '值班风速', 'englishName': 'YDutyWind', 'createTime': 1624256475794, 'dictionaryNote': '', 'updateTime': 1624256475794, 'updateUserName': '来自EGS77星系英俊潇洒十全十美大帅哥', 'updateUserID': 163, 'isDeleted': 0, 'dataUnit': 'r/min', 'dataType': 3, 'modelName': None, 'privilegeLevel': None, 'parentID': 0, 'level': 1, 'isShowed': 0}}[0m
2021-06-21 14:26:37,872 [32mINFO {'code': 200, 'msg': '添加成功', 'data': {'id': 1641, 'configCode': '566838650581327872', 'deviceModelID': 240, 'dataVersion': None, 'dataName': '统一运行风速', 'englishName': 'YWorkWind', 'createTime': 1624256475877, 'dictionaryNote': '', 'updateTime': 1624256475877, 'updateUserName': '来自EGS77星系英俊潇洒十全十美大帅哥', 'updateUserID': 163, 'isDeleted': 0, 'dataUnit': 'r/min', 'dataType': 3, 'modelName': None, 'privilegeLevel': None, 'parentID': 0, 'level': 1, 'isShowed': 0}}[0m
2021-06-21 14:26:37,919 [32mINFO {'code': 200, 'msg': '添加成功', 'data': {'id': 1642, 'configCode': '566838650744905728', 'deviceModelID': 240, 'dataVersion': None, 'dataName': '风机001设定风速', 'englishName': 'Y001WindSet', 'createTime': 1624256475916, 'dictionaryNote': '', 'updateTime': 1624256475916, 'updateUserName': '来自EGS77星系英俊潇洒十全十美大帅哥', 'updateUserID': 163, 'isDeleted': 0, 'dataUnit': 'r/min', 'dataType': 3, 'modelName': None, 'privilegeLevel': None, 'parentID': 0, 'level': 1, 'isShowed': 0}}[0m
2021-06-21 14:26:37,950 [32mINFO {'code': 200, 'msg': '添加成功', 'data': {'id': 1643, 'configCode': '566838650946232320', 'deviceModelID': 240, 'dataVersion': None, 'dataName': '风机002设定风速', 'englishName': 'Y002WindSet', 'createTime': 1624256475964, 'dictionaryNote': '', 'updateTime': 1624256475964, 'updateUserName': '来自EGS77星系英俊潇洒十全十美大帅哥', 'updateUserID': 163, 'isDeleted': 0, 'dataUnit': 'r/min', 'dataType': 3, 'modelName': None, 'privilegeLevel': None, 'parentID': 0, 'level': 1, 'isShowed': 0}}[0m
2021-06-21 14:26:37,997 [32mINFO {'code': 200, 'msg': '添加成功', 'data': {'id': 1644, 'configCode': '566838651122393088', 'deviceModelID': 240, 'dataVersion': None, 'dataName': '风机003设定风速', 'englishName': 'Y003WindSet', 'createTime': 1624256476006, 'dictionaryNote': '', 'updateTime': 1624256476006, 'updateUserName': '来自EGS77星系英俊潇洒十全十美大帅哥', 'updateUserID': 163, 'isDeleted': 0, 'dataUnit': 'r/min', 'dataType': 3, 'modelName': None, 'privilegeLevel': None, 'parentID': 0, 'level': 1, 'isShowed': 0}}[0m
2021-06-21 14:26:38,059 [32mINFO {'code': 200, 'msg': '添加成功', 'data': {'id': 1645, 'configCode': '566838651315331072', 'deviceModelID': 240, 'dataVersion': None, 'dataName': '风机004设定风速', 'englishName': 'Y004WindSet', 'createTime': 1624256476052, 'dictionaryNote': '', 'updateTime': 1624256476052, 'updateUserName': '来自EGS77星系英俊潇洒十全十美大帅哥', 'updateUserID': 163, 'isDeleted': 0, 'dataUnit': 'r/min', 'dataType': 3, 'modelName': None, 'privilegeLevel': None, 'parentID': 0, 'level': 1, 'isShowed': 0}}[0m
2021-06-21 14:26:38,106 [32mINFO {'code': 200, 'msg': '添加成功', 'data': {'id': 1646, 'configCode': '566838651562795008', 'deviceModelID': 240, 'dataVersion': None, 'dataName': '风机005设定风速', 'englishName': 'Y005WindSet', 'createTime': 1624256476111, 'dictionaryNote': '', 'updateTime': 1624256476111, 'updateUserName': '来自EGS77星系英俊潇洒十全十美大帅哥', 'updateUserID': 163, 'isDeleted': 0, 'dataUnit': 'r/min', 'dataType': 3, 'modelName': None, 'privilegeLevel': None, 'parentID': 0, 'level': 1, 'isShowed': 0}}[0m
2021-06-21 14:26:38,153 [32mINFO {'code': 200, 'msg': '添加成功', 'data': {'id': 1647, 'configCode': '566838651772510208', 'deviceModelID': 240, 'dataVersion': None, 'dataName': '风机006设定风速', 'englishName': 'Y006WindSet', 'createTime': 1624256476161, 'dictionaryNote': '', 'updateTime': 1624256476161, 'updateUserName': '来自EGS77星系英俊潇洒十全十美大帅哥', 'updateUserID': 163, 'isDeleted': 0, 'dataUnit': 'r/min', 'dataType': 3, 'modelName': None, 'privilegeLevel': None, 'parentID': 0, 'level': 1, 'isShowed': 0}}[0m
2021-06-21 14:26:38,199 [32mINFO {'code': 200, 'msg': '添加成功', 'data': {'id': 1648, 'configCode': '566838651990614016', 'deviceModelID': 240, 'dataVersion': None, 'dataName': '风机007设定风速', 'englishName': 'Y007WindSet', 'createTime': 1624256476213, 'dictionaryNote': '', 'updateTime': 1624256476213, 'updateUserName': '来自EGS77星系英俊潇洒十全十美大帅哥', 'updateUserID': 163, 'isDeleted': 0, 'dataUnit': 'r/min', 'dataType': 3, 'modelName': None, 'privilegeLevel': None, 'parentID': 0, 'level': 1, 'isShowed': 0}}[0m
2021-06-21 14:26:38,246 [32mINFO {'code': 200, 'msg': '添加成功', 'data': {'id': 1649, 'configCode': '566838652154191872', 'deviceModelID': 240, 'dataVersion': None, 'dataName': '风机008设定风速', 'englishName': 'Y008WindSet', 'createTime': 1624256476252, 'dictionaryNote': '', 'updateTime': 1624256476252, 'updateUserName': '来自EGS77星系英俊潇洒十全十美大帅哥', 'updateUserID': 163, 'isDeleted': 0, 'dataUnit': 'r/min', 'dataType': 3, 'modelName': None, 'privilegeLevel': None, 'parentID': 0, 'level': 1, 'isShowed': 0}}[0m
2021-06-21 14:26:38,293 [32mINFO {'code': 200, 'msg': '添加成功', 'data': {'id': 1650, 'configCode': '566838652330352640', 'deviceModelID': 240, 'dataVersion': None, 'dataName': '风机009设定风速', 'englishName': 'Y009WindSet', 'createTime': 1624256476294, 'dictionaryNote': '', 'updateTime': 1624256476294, 'updateUserName': '来自EGS77星系英俊潇洒十全十美大帅哥', 'updateUserID': 163, 'isDeleted': 0, 'dataUnit': 'r/min', 'dataType': 3, 'modelName': None, 'privilegeLevel': None, 'parentID': 0, 'level': 1, 'isShowed': 0}}[0m
2021-06-21 14:26:38,340 [32mINFO {'code': 200, 'msg': '添加成功', 'data': {'id': 1651, 'configCode': '566838652527484928', 'deviceModelID': 240, 'dataVersion': None, 'dataName': '风机010设定风速', 'englishName': 'Y010WindSet', 'createTime': 1624256476341, 'dictionaryNote': '', 'updateTime': 1624256476341, 'updateUserName': '来自EGS77星系英俊潇洒十全十美大帅哥', 'updateUserID': 163, 'isDeleted': 0, 'dataUnit': 'r/min', 'dataType': 3, 'modelName': None, 'privilegeLevel': None, 'parentID': 0, 'level': 1, 'isShowed': 0}}[0m
2021-06-21 14:26:38,371 [32mINFO {'code': 200, 'msg': '添加成功', 'data': {'id': 1652, 'configCode': '566838652691062784', 'deviceModelID': 240, 'dataVersion': None, 'dataName': '风机011设定风速', 'englishName': 'Y011WindSet', 'createTime': 1624256476380, 'dictionaryNote': '', 'updateTime': 1624256476380, 'updateUserName': '来自EGS77星系英俊潇洒十全十美大帅哥', 'updateUserID': 163, 'isDeleted': 0, 'dataUnit': 'r/min', 'dataType': 3, 'modelName': None, 'privilegeLevel': None, 'parentID': 0, 'level': 1, 'isShowed': 0}}[0m
2021-06-21 14:26:38,402 [32mINFO {'code': 200, 'msg': '添加成功', 'data': {'id': 1653, 'configCode': '566838652833669120', 'deviceModelID': 240, 'dataVersion': None, 'dataName': '风机012设定风速', 'englishName': 'Y012WindSet', 'createTime': 1624256476414, 'dictionaryNote': '', 'updateTime': 1624256476414, 'updateUserName': '来自EGS77星系英俊潇洒十全十美大帅哥', 'updateUserID': 163, 'isDeleted': 0, 'dataUnit': 'r/min', 'dataType': 3, 'modelName': None, 'privilegeLevel': None, 'parentID': 0, 'level': 1, 'isShowed': 0}}[0m
